Event,TouchPoint,unique_input_json,diff_keys_vs_global,step 1 op,step 2 op,step 3 op,step 4 op,step 5 op,flow
activateStyle,List (FONTLIST),"{
  ""activationType"": ""PERMANENT"",
  ""listIds"": [
    ""210ad1c8-b742-49e4-9074-4be65d4be610""
  ],
  ""listType"": ""FONTLIST"",
  ""styleIds"": [
    ""920374778""
  ]
}","[""activationType"", ""listIds"", ""listType"", ""styleIds""]",createAsset,addFontListStyles,activateStyle,,,createAsset → addFontListStyles → activateStyle
activateStyle,Favourite,"{
  ""activationType"": ""PERMANENT"",
  ""listType"": ""FAVORITE"",
  ""styleIds"": [
    ""920374778""
  ]
}","[""activationType"", ""listType"", ""styleIds""]",addFavoriteStyles,activateStyle,,,,addFavoriteStyles → activateStyle
activateStyle,Project,"{
  ""activationType"": ""PERMANENT"",
  ""listIds"": [
    ""project_c2a7788f-e731-4f65-8cc6-1db42ff41138""
  ],
  ""listType"": ""FONTPROJECT"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""styleIds"": [
    ""920374778""
  ]
}","[""activationType"", ""listIds"", ""listType"", ""projectId"", ""styleIds""]",createProject,addFontProjectStyles,activateStyle,,,createProject → addFontProjectStyles → activateStyle
activateStyle,Project > List,"{
  ""activationType"": ""PERMANENT"",
  ""listIds"": [
    ""210ad1c8-b742-49e4-9074-4be65d4be610""
  ],
  ""listType"": ""FONTLIST"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""styleIds"": [
    ""920374778""
  ]
}","[""activationType"", ""listIds"", ""listType"", ""projectId"", ""styleIds""]",createProject,createAsset,addFontListStyles,activateStyle,,createProject → createAsset → addFontListStyles → activateStyle
activateVariation,Discovery/Browse (global),"{
  ""activationType"": ""PERMANENT"",
  ""variations"": [
    {
      ""styleId"": ""920374778"",
      ""md5"": ""b783215634650cf0a55e0d723123d5e0""
    }
  ]
}","[""activationType"", ""variations""]",activateVariation,,,,,activateVariation
activateVariation,List (FONTLIST),"{
  ""activationType"": ""PERMANENT"",
  ""listIds"": [
    ""210ad1c8-b742-49e4-9074-4be65d4be610""
  ],
  ""listType"": ""FONTLIST"",
  ""variations"": [
    {
      ""styleId"": ""920374778"",
      ""md5"": ""b783215634650cf0a55e0d723123d5e0""
    }
  ]
}","[""activationType"", ""listIds"", ""listType"", ""variations""]",createAsset,addFontListStyles,activateVariation,,,createAsset → addFontListStyles → activateVariation
activateVariation,Favourite,"{
  ""activationType"": ""PERMANENT"",
  ""listType"": ""FAVORITE"",
  ""variations"": [
    {
      ""styleId"": ""920374778"",
      ""md5"": ""b783215634650cf0a55e0d723123d5e0""
    }
  ]
}","[""activationType"", ""listType"", ""variations""]",addFavoriteStyles,activateVariation,,,,addFavoriteStyles → activateVariation
activateVariation,Project,"{
  ""activationType"": ""PERMANENT"",
  ""listIds"": [
    ""project_c2a7788f-e731-4f65-8cc6-1db42ff41138""
  ],
  ""listType"": ""FONTPROJECT"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""variations"": [
    {
      ""styleId"": ""920374778"",
      ""md5"": ""b783215634650cf0a55e0d723123d5e0""
    }
  ]
}","[""activationType"", ""listIds"", ""listType"", ""projectId"", ""variations""]",createProject,addFontProjectStyles,activateVariation,,,createProject → addFontProjectStyles → activateVariation
activateVariation,Project > List,"{
  ""activationType"": ""PERMANENT"",
  ""listIds"": [
    ""210ad1c8-b742-49e4-9074-4be65d4be610""
  ],
  ""listType"": ""FONTLIST"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""variations"": [
    {
      ""styleId"": ""920374778"",
      ""md5"": ""b783215634650cf0a55e0d723123d5e0""
    }
  ]
}","[""activationType"", ""listIds"", ""listType"", ""projectId"", ""variations""]",createProject,createAsset,addFontListStyles,activateVariation,,createProject → createAsset → addFontListStyles → activateVariation
addFavoriteFamilies,Discovery/Browse (global),"{
  ""familyIds"": [
    ""910130168""
  ]
}",global (no list/project/document scope),addFavoriteFamilies,,,,,addFavoriteFamilies
addFavoritePair,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),addFavoritePair,,,,,addFavoritePair
addFavoriteStyles,Discovery/Browse (global),"{
  ""styleIds"": [
    ""920374778""
  ]
}",global (no list/project/document scope),addFavoriteStyles,,,,,addFavoriteStyles
addFontListFamilies,List (FONTLIST),"{
  ""fontListId"": ""210ad1c8-b742-49e4-9074-4be65d4be610"",
  ""families"": {
    ""familyIds"": [
      ""910130168""
    ]
  }
}","[""families"", ""fontListId""]",createAsset,addFontListFamilies,,,,createAsset → addFontListFamilies
addFontListFamilies,Project > List,"{
  ""fontListId"": ""210ad1c8-b742-49e4-9074-4be65d4be610"",
  ""families"": {
    ""familyIds"": [
      ""910130168""
    ]
  },
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}","[""families"", ""fontListId"", ""projectId""]",createProject,createAsset,addFontListFamilies,,,createProject → createAsset → addFontListFamilies
addFontListStyles,List (FONTLIST),"{
  ""fontListId"": ""210ad1c8-b742-49e4-9074-4be65d4be610"",
  ""styles"": [
    {
      ""styleId"": ""920374778""
    }
  ]
}","[""fontListId"", ""styles""]",createAsset,addFontListStyles,,,,createAsset → addFontListStyles
addFontListStyles,Project > List,"{
  ""fontListId"": ""210ad1c8-b742-49e4-9074-4be65d4be610"",
  ""styles"": [
    {
      ""styleId"": ""920374778""
    }
  ],
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}","[""fontListId"", ""projectId"", ""styles""]",createProject,createAsset,addFontListStyles,,,createProject → createAsset → addFontListStyles
